Title:;Monthly counts of E. coli bacteraemia by CCG;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Reporting Period:;March 2016 to March 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No. of months:;13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Publication date:;Wednesday, May 03, 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CCG Code;PHE Centre;CCG Name;March 2016;April 2016;May 2016;June 2016;July 2016;August 2016;September 2016;October 2016;November 2016;December 2016;January 2017;February 2017;March 2017;CCG Name
;;Totals; 3 231 ; 3 058 ; 3 370 ; 3 412 ; 3 644 ; 3 761 ; 3 476 ; 3 532 ; 3 323 ; 3 271 ; 3 168 ; 3 091 ; 3 336 ;Totals
;;;;;;;;;;;;;;;;
03J;Yorkshire and Humber;North Kirklees;11;12;21;15;15;12;9;13;13;10;8;10;5;North Kirklees
03K;Yorkshire and Humber;North Lincolnshire;11;14;9;11;14;14;10;8;14;7;10;9;10;North Lincolnshire
01M;North West;North Manchester;12;10;7;15;6;10;13;9;12;16;9;15;12;North Manchester
06V;East of England;North Norfolk;9;9;13;9;14;9;9;7;11;7;7;8;10;North Norfolk
11T;South West;North Somerset;13;16;13;10;13;15;14;12;13;14;11;10;11;North Somerset
05G;West Midlands;North Staffordshire;11;19;22;24;23;19;16;18;18;8;30;11;21;North Staffordshire
99C;North East;North Tyneside;17;11;20;22;13;19;19;24;10;10;25;21;16;North Tyneside
09Y;South East;North West Surrey;22;25;23;26;17;33;28;25;20;20;22;10;18;North West Surrey
99P;South West; Northern, Eastern and Western Devon;55;41;50;53;61;51;45;55;57;59;53;48;47; Northern, Eastern and Western Devon
00L;North East;Northumberland;24;22;25;27;30;27;17;30;28;24;23;24;25;Northumberland
06W;East of England;Norwich;9;10;8;7;13;14;11;9;12;11;6;8;9;Norwich
04K;East Midlands;Nottingham City;28;17;24;28;25;26;27;22;29;28;19;35;26;Nottingham City
04L;East Midlands;Nottingham North and East;13;12;11;13;10;19;10;14;13;12;13;9;21;Nottingham North and East
04M;East Midlands;Nottingham West;9;9;6;4;4;11;9;11;4;9;12;10;3;Nottingham West
00Y;North West;Oldham;15;7;7;13;16;20;18;14;11;19;8;6;12;Oldham
10Q;South East;Oxfordshire;35;43;30;42;44;35;40;46;37;46;45;30;31;Oxfordshire
10R;South East;Portsmouth;9;15;6;10;11;13;16;13;6;12;14;9;4;Portsmouth
08N;London;Redbridge;25;14;16;18;17;14;19;14;13;21;13;14;21;Redbridge
05J;West Midlands;Redditch and Bromsgrove;12;12;7;11;6;8;10;11;11;8;8;9;11;Redditch and Bromsgrove
08P;London;Richmond;7;5;7;9;12;12;5;7;9;3;11;10;9;Richmond
03L;Yorkshire and Humber;Rotherham;16;17;23;17;24;27;20;17;20;20;21;18;17;Rotherham
04N;East Midlands;Rushcliffe;5;5;10;10;7;9;15;11;8;10;9;9;7;Rushcliffe
01G;North West;Salford;15;16;13;13;14;16;21;16;15;19;20;8;16;Salford
05L;West Midlands;Sandwell and West Birmingham;31;18;24;32;32;22;28;31;28;20;26;21;25;Sandwell and West Birmingham
03M;Yorkshire and Humber;Scarborough and Ryedale;8;7;3;10;17;6;4;7;12;9;10;11;11;Scarborough and Ryedale
03N;Yorkshire and Humber;Sheffield;42;56;46;44;49;47;64;40;57;44;44;52;42;Sheffield
05N;West Midlands;Shropshire;18;13;21;9;20;33;22;17;20;15;20;17;21;Shropshire
10T;South East;Slough;5;4;11;4;7;11;16;14;10;7;7;9;4;Slough
05P;West Midlands;Solihull;13;16;15;11;17;18;17;15;14;16;12;13;17;Solihull
11X;South West;Somerset;34;38;47;41;44;44;55;37;44;40;39;25;40;Somerset
01R;North West;South Cheshire;17;11;10;9;6;11;16;9;5;14;10;10;15;South Cheshire
99Q;South West;South Devon and Torbay;15;19;15;13;29;29;22;17;24;24;16;16;20;South Devon and Torbay
05Q;West Midlands;South East Staffordshire and Seisdon Peninsula;11;9;6;8;13;15;11;15;19;12;9;15;9;South East Staffordshire and Seisdon Peninsula
10V;South East;South Eastern Hampshire;5;7;8;18;16;10;12;9;15;13;4;14;12;South Eastern Hampshire
12A;South West;South Gloucestershire;9;11;15;21;12;10;15;9;9;14;12;17;12;South Gloucestershire
10A;South East;South Kent Coast;14;17;20;11;19;22;11;16;14;22;15;18;24;South Kent Coast
99D;East Midlands;South Lincolnshire;9;7;7;4;14;7;10;9;11;6;9;9;14;South Lincolnshire
01N;North West;South Manchester;10;10;9;14;11;12;15;11;10;6;8;9;9;South Manchester
06Y;East of England;South Norfolk;14;8;9;16;15;16;9;18;13;12;14;8;23;South Norfolk
10W;South East;South Reading;3;8;9;7;3;5;5;4;6;6;4;7;5;South Reading
01T;North West;South Sefton;10;11;10;8;13;19;10;20;15;17;15;13;14;South Sefton
00M;North East;South Tees;32;25;30;31;23;29;25;22;25;26;21;21;19;South Tees
00N;North East;South Tyneside;9;14;18;19;10;13;16;9;20;16;14;8;15;South Tyneside
05R;West Midlands;South Warwickshire;18;12;17;20;19;13;11;18;24;23;11;12;11;South Warwickshire
04Q;East Midlands;South West Lincolnshire;4;6;9;9;5;4;5;7;9;7;6;6;6;South West Lincolnshire
05T;West Midlands;South Worcestershire;16;15;14;20;14;23;10;23;18;16;15;14;16;South Worcestershire
10X;South East;Southampton;12;7;13;8;12;9;6;12;19;8;10;10;13;Southampton
99G;East of England;Southend;7;10;7;10;10;14;14;16;11;15;5;5;9;Southend
04R;East Midlands;Southern Derbyshire;36;42;36;40;40;31;45;51;28;30;38;30;37;Southern Derbyshire
01V;North West;Southport and Formby;14;10;10;10;19;15;7;13;11;7;8;9;9;Southport and Formby
08Q;London;Southwark;17;8;18;16;13;16;12;12;19;14;5;23;17;Southwark
01X;North West;St Helens;14;15;17;19;23;20;16;18;15;13;20;11;14;St Helens
05V;West Midlands;Stafford and Surrounds;12;10;8;10;7;8;10;14;12;10;7;6;10;Stafford and Surrounds
01W;North West;Stockport;10;10;16;15;23;20;30;25;21;13;17;15;8;Stockport
05W;West Midlands;Stoke on Trent;22;18;22;13;23;23;28;21;21;28;22;18;24;Stoke on Trent
00P;North East;Sunderland;21;25;23;18;19;23;24;25;16;25;24;28;26;Sunderland
99H;South East;Surrey Downs;9;15;22;12;18;10;15;20;14;17;17;13;12;Surrey Downs
10C;South East;Surrey Heath;8;4;4;9;8;5;8;14;5;5;3;5;11;Surrey Heath
08T;London;Sutton;8;7;8;17;12;13;10;9;11;10;7;12;10;Sutton
10D;South East;Swale;8;13;14;9;6;6;9;7;7;5;5;7;5;Swale
12D;South West;Swindon;14;14;13;6;10;18;11;16;11;16;7;14;16;Swindon
01Y;North West;Tameside and Glossop;11;13;18;19;20;19;20;21;12;20;11;12;14;Tameside and Glossop
05X;West Midlands;Telford and Wrekin;10;5;12;4;8;14;9;13;10;9;10;5;7;Telford and Wrekin
10E;South East;Thanet;9;14;13;15;15;11;18;16;10;12;18;9;16;Thanet
07G;East of England;Thurrock;11;10;8;8;8;7;8;12;9;10;2;7;12;Thurrock
08V;London;Tower Hamlets;17;14;13;19;15;16;13;16;15;12;14;17;19;Tower Hamlets
02A;North West;Trafford;12;12;13;16;23;15;14;11;14;15;14;12;16;Trafford
03Q;Yorkshire and Humber;Vale of York;23;22;17;24;31;32;32;25;32;19;23;25;22;Vale of York
02D;North West;Vale Royal;4;7;5;6;5;9;7;4;5;6;2;5;7;Vale Royal
03R;Yorkshire and Humber;Wakefield;22;25;26;31;19;19;22;32;23;26;33;14;23;Wakefield
05Y;West Midlands;Walsall;5;16;10;12;9;16;12;15;11;15;12;12;13;Walsall
08W;London;Waltham Forest;17;15;18;22;19;12;20;17;14;13;15;15;20;Waltham Forest
08X;London;Wandsworth;10;7;15;19;10;12;14;12;12;12;14;18;22;Wandsworth
02E;North West;Warrington;13;14;9;10;11;17;9;14;18;17;13;8;14;Warrington
05H;West Midlands;Warwickshire North;10;8;11;18;16;16;10;11;14;12;20;12;8;Warwickshire North
02F;North West;West Cheshire;19;9;14;19;21;27;28;22;16;11;13;17;14;West Cheshire
07H;East of England;West Essex;14;24;18;21;8;28;10;19;10;19;17;21;18;West Essex
11A;South East;West Hampshire;21;26;28;26;34;33;32;26;28;26;29;30;24;West Hampshire
99J;South East;West Kent;21;24;27;26;35;30;26;24;18;23;22;31;33;West Kent
02G;North West;West Lancashire;7;6;10;4;7;5;7;8;3;4;10;7;5;West Lancashire
04V;East Midlands;West Leicestershire;23;17;15;13;19;18;24;24;21;14;19;26;17;West Leicestershire
08Y;London;West London;11;8;12;13;11;19;12;22;16;11;9;11;14;West London
07J;East of England;West Norfolk;14;12;6;16;20;9;15;17;11;15;15;13;14;West Norfolk
07K;East of England;West Suffolk;9;7;12;12;15;21;22;15;14;14;16;5;9;West Suffolk
02H;North West;Wigan Borough;27;10;19;19;16;17;17;15;19;20;16;19;15;Wigan Borough
99N;South West;Wiltshire;18;26;21;18;31;28;29;30;31;31;28;16;18;Wiltshire
11C;South East;Windsor, Ascot and Maidenhead;14;11;5;11;10;11;14;7;7;14;12;4;14;Windsor, Ascot and Maidenhead
12F;North West;Wirral*;27;9;27;16;22;26;19;20;27;22;12;18;22;Wirral
11D;South East;Wokingham;7;5;7;6;9;11;8;12;3;8;7;4;11;Wokingham
06A;West Midlands;Wolverhampton;13;14;17;15;23;23;15;19;14;18;15;15;15;Wolverhampton
06D;West Midlands;Wyre Forest;4;10;8;9;7;7;7;9;5;5;6;4;11;Wyre Forest
;Specialist Commissioning;Specialist Commissioning Hubs;1;0;1;0;0;1;0;1;0;0;3;1;1;Specialist Commissioning Hubs
;;Totals; 3 231 ; 3 058 ; 3 370 ; 3 412 ; 3 644 ; 3 761 ; 3 476 ; 3 532 ; 3 323 ; 3 271 ; 3 168 ; 3 091 ; 3 336 ;Totals
NB: A technical issue has led to a shortfall in reported E. coli bacteraemia numbers for Leeds Teaching Hospitals for the period January to March 2017. This issue has now been resolved and will be updated in future publications;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Italicised figures indicate data from months that are likely to be subject to minor change or update in the future monthly publications.;;;;;;;;;;;;;;;;
Data cells with red numbers indicate that these figures have been amended since the previous monthly publication.;;;;;;;;;;;;;;;;
